מחיר,רחוב,אזור,"שטח במ""ר",קומה,כמות חדרים ,zone,city
"₪ 12,500","הגוש הגדול, רמת אביב החדשה, נופי ים","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",118,‎3‏,4,,
"₪ 32,000",הצפון החדש - צפון,"בית פרטי/ קוטג', הצפון החדש - צפון, תל אביב יפו",270,‎3‏,6,,
"₪ 5,000",בן אביגדור 2,"דירה, מונטיפיורי, הרכבת, תל אביב יפו",53,‎קרקע‏,2,,
"₪ 8,000",החרמש 5,"דירה, קרית שלום, תל אביב יפו",110,‎4‏,4,,
"₪ 5,500",שדרות הר ציון 1,"דירה, נווה שאנן, תל אביב יפו",50,‎1‏,3,,
"₪ 2,100",בושם 64,"דירה, לבנה, תל אביב יפו",100,‎2‏,5,,
"₪ 2,670",נחום סוקולוב 20,"דירה, הצפון הישן - צפון, תל אביב יפו",65,‎3‏,3,,
"₪ 8,500",יבנאל 25,"דירת גן, נווה צדק, תל אביב יפו",135,‎1‏,2,,
"₪ 3,500",דרך מנחם בגין 19,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",25,‎קרקע‏,1,,
"₪ 11,900",בן יהודה 175,"דופלקס, הצפון הישן - צפון, תל אביב יפו",90,‎3‏,3,,
"₪ 6,500",הרב אלנקווה 78,"דירה, נווה ברבור, כפר שלם מערב, תל אביב יפו",90,‎6‏,4,,
"₪ 5,500",שדרות ששת הימים 17,"דירה, נווה אליעזר וכפר שלם מזרח, תל אביב יפו",65,‎5‏,3,,
"₪ 10,500",גרציאני יצחק 4,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",97,‎3‏,4,,
₪ 800,צייטלין 35,"חניה, הצפון החדש - דרום, תל אביב יפו",15,‎21‏,1,,
"₪ 3,500",מרדכי אנילביץ' 11,"דירה, יד אליהו, תל אביב יפו",35,‎קרקע‏,1,,
"₪ 12,000",פרוג 32,"דירת גן, הצפון הישן - דרום, תל אביב יפו",180,‎1‏,3,,
"₪ 3,400",חובבי ציון 27,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",12,‎קרקע‏,1,,
"₪ 16,000",פרישמן 20,"דופלקס, הצפון הישן - דרום, תל אביב יפו",145,‎2‏,4,,
"₪ 6,800",חיים חבשוש 5,"דופלקס, כרם התימנים, תל אביב יפו",55,‎4‏,2,,
"₪ 8,300",שדרות הר ציון 1,"גג/ פנטהאוז, נווה שאנן, תל אביב יפו",150,‎2‏,3,,
"₪ 25,000",מאיר פיינשטיין 21,"בית פרטי/ קוטג', רמת אביב ג', תל אביב יפו",370,‎5‏,8.5,,
"₪ 5,700",מורדי הגטאות 23,"דירה, יד אליהו, תל אביב יפו",70,‎קרקע‏,3,,
"₪ 6,000",יסוד המעלה 31,"דירה, נווה שאנן, תל אביב יפו",57,‎1‏,2,,
"₪ 9,900",ויסוצקי 6,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",85,‎3‏,3,,
"₪ 12,000",המרפא,"דירת גן, עג'מי, גבעת העליה, תל אביב יפו",153,‎7‏,3,,
"₪ 8,000",אליהו בית צורי,"דירה, רמת אביב ג', תל אביב יפו",90,‎קרקע‏,4,,
"₪ 11,000",גרציאני יצחק,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",103,‎5‏,4,,
"₪ 17,000","הגוש הגדול, רמת אביב החדשה, נופי ים","דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",145,‎19‏,4,,
"₪ 14,000",נחמני,"דירת גן, לב תל אביב, לב העיר צפון, תל אביב יפו",120,‎5‏,3,,
"₪ 9,800",ויסוצקי,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",84,‎קרקע‏,3,,
"₪ 11,500",ליאונרדו דה וינצ'י,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",86,‎11‏,3,,
"₪ 7,000",אלנבי,"דירה, כרם התימנים, תל אביב יפו",50,‎7‏,2,,
"₪ 25,000",יבנה,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",155,‎2‏,4.5,,
"₪ 9,800",ויסוצקי 8,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",82,‎1‏,3,,
"₪ 8,699",כרם התימנים,"דירה, כרם התימנים, תל אביב יפו",80,‎8‏,3,,
"₪ 5,250",כרמייה 25,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",35,‎1‏,2,,
"₪ 10,000",רציף הרברט סמואל,"דירה, כרם התימנים, תל אביב יפו",55,‎קרקע‏,2,,
"₪ 19,000",שדרות לוי אשכול,"דירה, כוכב הצפון, תל אביב יפו",158,‎5‏,6,,
"₪ 11,800",ישה חפץ,"דירה, הגוש הגדול, רמת אביב החדשה, נופי ים, תל אביב יפו",152,‎19‏,5,,
"₪ 9,400",ויסוצקי,"דירה, הצפון החדש - כיכר המדינה, תל אביב יפו",77,‎1‏,3,,
"₪ 17,500",פרישמן,"דירה, הצפון הישן - דרום, תל אביב יפו",105,‎2‏,3,,
"₪ 4,600","ראב""ד","דירה, נווה שאנן, תל אביב יפו",72,‎10‏,2.5,,
"₪ 9,500",החשמונאים,"דירה, גני שרונה, קרית הממשלה, תל אביב יפו",105,‎קרקע‏,4,,
"₪ 7,500",דוד אבידן 13,"דירה, המשתלה, תל אביב יפו",92,‎43‏,3.5,,
